catch;day;year;ID;weight;tarse;culmen;remarque;collier
5;131;2023;2177-57412;2944;82,33;58,27;;34CU
5;131;2023;2177-62435;3078;84,28;57,42;;YK98
1;;2023;2177-57417;3172;84,29;58,57;;16CU
1;;2023;2127-43575;2860;82,15;55,32;;YM44
1;;2023;2127-43576;3085;87,65;65,57;;YM50
1;;2023;2127-43577;;;;;
1;;2023;2127-43578;3150;87,43;57,88;;YM40
1;;2023;2127-43579;2869;79,72;55,97;;YM42
1;;2023;2127-43580;;;;;
1;;2023;2127-43581;2660;80,2;59,74;;YK00
1;;2023;2127-43582;3139;84,75;58,18;;YK97
1;;2023;2127-43583;2594;79,24;54,36;;YK75
1;;2023;2127-43584;2159;80,94;52,03;;YK73
1;;2023;2127-43585;;;;;
1;;2023;2127-43586;;;;;
1;;2023;2127-43587;;;;;
1;;2023;2127-43588;2166;83,15;55,11;;YK94
1;;2023;2127-43589;;;;;
1;;2023;2127-43590;;;;;
1;;2023;2127-43591;;;;;
1;;2023;2127-43592;;;;;
1;;2023;2127-43593;2953;84,41;56,77;;YK76
1;;2023;2127-43594;;;;;
1;;2023;2127-43595;;;;;
1;;2023;2127-43596;;;;;
1;;2023;2127-43597;;;;;
1;;2023;2127-43598;;;;;
1;;2023;2127-43599;;;;;
1;;2023;2127-43600;2897;79,73;59,38;;YK95
;;2023;2127-43601;;;;;
;;2023;2127-43602;;;;;
;;2023;2127-43603;;;;;
;;2023;2127-43604;;;;;
;;2023;2127-43605;;;;;
;;2023;2127-43606;;;;;
;;2023;2127-43607;;;;;
;;2023;2127-43608;;;;;
;;2023;2127-43609;;;;;
;;2023;2127-43610;;;;;
;;2023;2127-43611;;;;;
;;2023;2127-43612;;;;;
;;2023;2127-43613;;;;;
;;2023;2127-43614;;;;;
;;2023;2127-43615;;;;;
;;2023;2127-43616;;;;;
;;2023;2127-43617;;;;;
;;2023;2127-43618;;;;;
;;2023;2127-43619;;;;;
;;2023;2127-43620;;;;;
;;2023;2127-43621;;;;;
;;2023;2127-43622;;;;;
;;2023;2127-43623;;;;;
;;2023;2127-43624;;;;;
;;2023;2127-43625;;;;;
;;2023;2127-43626;;;;;
;;2023;2127-43627;;;;;
;;2023;2127-43628;;;;;
;;2023;2127-43629;;;;;
;;2023;2127-43630;;;;;
;;2023;2127-43631;;;;;
;;2023;2127-43632;;;;;
;;2023;2127-43633;;;;;
;;2023;2127-43634;;;;;
;;2023;2127-43635;;;;;
;;2023;2127-43636;;;;;
;;2023;2127-43637;;;;;
;;2023;2127-43638;;;;;
;;2023;2127-43639;;;;;
;;2023;2127-43640;;;;;
;;2023;2127-43641;;;;;
;;2023;2127-43642;;;;;
;;2023;2127-43643;;;;;
;;2023;2127-43644;;;;;
;;2023;2127-43645;;;;;
;;2023;2127-43646;;;;;
;;2023;2127-43647;;;;;
;;2023;2127-43648;;;;;
;;2023;2127-43649;;;;;
;;2023;2127-43650;;;;;
;;2023;2127-43651;;;;;
